# step       rmse_trn    rmse_e_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  37500      1.38e+00      3.50e-03      4.82e-02    8.2e-04
  37600      1.46e+00      5.64e-03      5.09e-02    8.2e-04
  37700      1.35e+00      1.06e-03      4.71e-02    8.2e-04
  37800      1.10e+00      2.12e-03      3.84e-02    8.2e-04
  37900      2.47e+00      6.55e-02      8.40e-02    8.2e-04
  38000      1.14e+00      6.55e-03      3.99e-02    8.2e-04
  38100      9.64e-01      3.89e-03      3.37e-02    8.2e-04
  38200      1.19e+00      6.07e-03      4.17e-02    8.2e-04
  38300      9.27e-01      9.99e-04      3.24e-02    8.2e-04
  38400      1.25e+00      7.63e-03      4.35e-02    8.2e-04
  38500      9.09e-01      6.37e-03      3.17e-02    8.2e-04
  38600      1.07e+00      5.64e-03      3.73e-02    8.2e-04
  38700      1.41e+00      2.56e-03      4.92e-02    8.2e-04
  38800      1.50e+00      8.12e-04      5.26e-02    8.2e-04
  38900      1.06e+00      7.42e-03      3.69e-02    8.2e-04
  39000      1.28e+00      1.44e-02      4.44e-02    8.2e-04
  39100      1.23e+00      8.26e-03      4.31e-02    8.2e-04
  39200      1.20e+00      8.35e-03      4.19e-02    8.2e-04
  39300      1.05e+00      1.34e-02      3.65e-02    8.2e-04
  39400      1.10e+00      2.98e-03      3.86e-02    8.2e-04
  39500      1.36e+00      1.24e-02      4.73e-02    8.2e-04
  39600      4.55e+00      2.98e-02      1.59e-01    8.2e-04
  39700      1.19e+00      1.86e-03      4.14e-02    8.2e-04
  39800      2.02e+00      1.02e-02      7.06e-02    8.2e-04
  39900      1.31e+00      1.16e-03      4.59e-02    8.2e-04
  40000      1.11e+00      7.78e-03      3.94e-02    7.9e-04
  40100      9.53e-01      8.25e-04      3.38e-02    7.9e-04
  40200      8.58e-01      2.32e-03      3.04e-02    7.9e-04
  40300      1.19e+00      5.92e-03      4.20e-02    7.9e-04
  40400      9.57e-01      2.51e-03      3.39e-02    7.9e-04
  40500      1.32e+00      1.80e-02      4.63e-02    7.9e-04
  40600      1.20e+00      5.69e-03      4.24e-02    7.9e-04
  40700      1.02e+00      8.03e-03      3.61e-02    7.9e-04
  40800      1.05e+00      5.43e-03      3.72e-02    7.9e-04
  40900      1.13e+00      8.18e-03      4.01e-02    7.9e-04
  41000      1.10e+00      6.43e-03      3.90e-02    7.9e-04
  41100      1.12e+00      9.09e-03      3.97e-02    7.9e-04
  41200      9.33e-01      4.35e-03      3.31e-02    7.9e-04
  41300      1.01e+00      8.57e-03      3.57e-02    7.9e-04
  41400      1.05e+00      1.38e-03      3.74e-02    7.9e-04
  41500      1.08e+00      1.48e-02      3.81e-02    7.9e-04
  41600      9.43e-01      6.16e-03      3.34e-02    7.9e-04
  41700      1.37e+00      1.38e-02      4.82e-02    7.9e-04
  41800      1.80e+00      5.78e-02      6.10e-02    7.9e-04
  41900      1.27e+00      4.60e-03      4.51e-02    7.9e-04
  42000      1.17e+00      3.65e-03      4.16e-02    7.9e-04
  42100      9.23e-01      1.28e-03      3.27e-02    7.9e-04
  42200      9.32e-01      2.14e-03      3.31e-02    7.9e-04
  42300      1.04e+00      1.89e-03      3.69e-02    7.9e-04
  42400      1.16e+00      3.19e-04      4.10e-02    7.9e-04
  42500      1.34e+00      1.09e-03      4.76e-02    7.9e-04
  42600      9.69e-01      5.31e-04      3.44e-02    7.9e-04
  42700      1.03e+00      3.65e-03      3.66e-02    7.9e-04
  42800      1.13e+00      4.38e-03      4.02e-02    7.9e-04
  42900      9.77e-01      1.02e-03      3.47e-02    7.9e-04
